import time: self [us] | cumulative | imported package
import time:       246 |        246 |                               scipy.sparse.linalg._isolve._gcrotmk
import time:       212 |        457 |                             scipy.sparse.linalg._isolve.lgmres
import time:       234 |        234 |                             scipy.sparse.linalg._isolve.lsqr
import time:      1098 |       1098 |                             scipy.sparse.linalg._isolve.lsmr
import time:       227 |        227 |                             scipy.sparse.linalg._isolve.tfqmr
import time:       397 |       3950 |                           scipy.sparse.linalg._isolve
import time:       940 |        940 |                               scipy.sparse.linalg._dsolve._superlu
import time:       135 |        135 |                                 scikits
import time:        38 |        172 |                               scikits.umfpack
import time:       469 |       1580 |                             scipy.sparse.linalg._dsolve.linsolve
import time:       220 |        220 |                             scipy.sparse.linalg._dsolve._add_newdocs
import time:       287 |       2086 |                           scipy.sparse.linalg._dsolve
import time:       885 |        885 |                                 scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       837 |       1721 |                               scipy.sparse.linalg._eigen.arpack.arpack
import time:       269 |       1990 |                             scipy.sparse.linalg._eigen.arpack
